boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:00.251449 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,83.53,8.14,54.00, 2019-12-06 , 18:08:01.313474 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-99.27,8.14,54.00, 2019-12-06 , 18:08:02.375400 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:03.436791 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-7.87,8.14,54.00, 2019-12-06 , 18:08:04.498156 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-7.87,8.14,54.00, 2019-12-06 , 18:08:05.559575 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:06.620743 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-7.87,8.14,54.00, 2019-12-06 , 18:08:07.682296 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:08.741822 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-99.27,8.14,54.00, 2019-12-06 , 18:08:09.800874 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-99.27,8.14,54.00, 2019-12-06 , 18:08:10.859552 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-7.87,8.14,54.00, 2019-12-06 , 18:08:11.918335 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-99.27,8.14,54.00, 2019-12-06 , 18:08:12.977313 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-99.27,8.14,54.00, 2019-12-06 , 18:08:14.035812 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-7.87,8.14,54.00, 2019-12-06 , 18:08:15.093874 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:16.152231 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:17.210088 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-99.27,8.14,54.00, 2019-12-06 , 18:08:18.268494 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:19.326930 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-99.27,8.14,54.00, 2019-12-06 , 18:08:20.385612 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.56,-99.27,8.14,54.00, 2019-12-06 , 18:08:21.444282 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-190.67,8.14,54.00, 2019-12-06 , 18:08:22.502794 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,83.53,8.14,54.00, 2019-12-06 , 18:08:23.561627 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.13,54.00, 2019-12-06 , 18:08:24.620240 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.50,-7.87,8.14,54.00, 2019-12-06 , 18:08:25.678711 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-7.87,8.13,54.00, 2019-12-06 , 18:08:26.737722 
 dolphin,444,0.0000000,0.0000000,23,7,37,328,22.44,-99.27,8.13,54.00, 2019-12-06 , 18:08:27.797151 
