deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
 444,0.0000000,0.0000000,0,0,0,0,270.94,-19234.08,-53.28,0.00, 2019-08-01 , 10:43:13.067877 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-12864.82,-53.28,0.00, 2019-08-01 , 10:43:14.294844 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-10104.81,-53.28,0.00, 2019-08-01 , 10:43:16.062070 
 444,0.0000000,0.0000000,0,0,0,0,270.94,42866.18,-53.28,0.00, 2019-08-01 , 10:43:17.140433 
 444,0.0000000,0.0000000,0,0,0,0,270.94,40000.02,-53.28,0.00, 2019-08-01 , 10:43:18.144699 
 444,0.0000000,0.0000000,0,0,0,0,270.94,20043.01,-53.28,0.00, 2019-08-01 , 10:43:19.238725 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-12652.51,-53.28,0.00, 2019-08-01 , 10:43:20.333782 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-12121.74,-53.28,0.00, 2019-08-01 , 10:43:21.415541 
 444,0.0000000,0.0000000,0,0,0,0,270.94,49978.53,-53.28,0.00, 2019-08-01 , 10:43:22.452541 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-6177.10,-53.28,0.00, 2019-08-01 , 10:43:23.888960 
 444,0.0000000,0.0000000,0,0,0,0,270.94,5181.41,-53.28,0.00, 2019-08-01 , 10:43:25.518882 
 444,0.0000000,0.0000000,0,0,0,0,270.94,46900.05,-53.28,0.00, 2019-08-01 , 10:43:26.571051 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-8937.11,-53.28,0.00, 2019-08-01 , 10:43:27.708443 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-7875.57,-53.28,0.00, 2019-08-01 , 10:43:28.718526 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-16261.76,-53.28,0.00, 2019-08-01 , 10:43:29.956992 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-12864.82,-53.28,0.00, 2019-08-01 , 10:43:31.105946 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-14881.75,-53.28,0.00, 2019-08-01 , 10:43:32.138935 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-10317.12,-53.28,0.00, 2019-08-01 , 10:43:33.154334 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-11378.66,-53.28,0.00, 2019-08-01 , 10:43:34.455368 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-4160.17,-53.28,0.00, 2019-08-01 , 10:43:35.470636 
 444,0.0000000,0.0000000,0,0,0,0,270.94,17070.69,-53.28,0.00, 2019-08-01 , 10:43:36.485695 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-17641.76,-53.28,0.00, 2019-08-01 , 10:43:37.501864 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-8087.88,-53.28,0.00, 2019-08-01 , 10:43:38.517850 
 444,0.0000000,0.0000000,0,0,0,0,270.94,-7238.64,-53.28,0.00, 2019-08-01 , 10:43:39.534075 
 444,0.0000000,0.0000000,0,0,0,0,0.00,-25921.80,-53.28,0.00, 2019-08-01 , 10:43:40.551967 
 444,0.0000000,0.0000000,0,0,0,0,22.50,2527.55,-53.28,0.00, 2019-08-01 , 10:43:41.559959 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-10529.42,-53.28,0.00, 2019-08-01 , 10:43:42.569981 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-12970.97,-53.28,0.00, 2019-08-01 , 10:43:43.581422 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-12758.66,-53.28,0.00, 2019-08-01 , 10:43:44.589044 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-12015.58,-53.28,0.00, 2019-08-01 , 10:43:45.596058 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-13395.59,-53.28,0.00, 2019-08-01 , 10:43:46.607783 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-11803.27,-53.28,0.00, 2019-08-01 , 10:43:47.614657 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-14244.82,-53.28,0.00, 2019-08-01 , 10:43:48.624641 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-13395.59,-53.28,0.00, 2019-08-01 , 10:43:49.632848 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-12227.89,-53.28,0.00, 2019-08-01 , 10:43:50.641085 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-14563.29,-53.28,0.00, 2019-08-01 , 10:43:51.652321 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-12758.66,-53.28,0.00, 2019-08-01 , 10:43:52.662268 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-13607.90,-53.28,0.00, 2019-08-01 , 10:43:53.671376 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-13183.28,-53.28,0.00, 2019-08-01 , 10:43:54.679915 
 444,0.0000000,0.0000000,0,0,0,0,22.50,-11484.81,-53.28,0.00, 2019-08-01 , 10:43:55.689881 
 444,0.0000000,0.0000000,0,0,0,0,23.00,-13289.44,-53.28,0.00, 2019-08-01 , 10:43:56.699118 
 444,0.0000000,0.0000000,0,0,0,0,25.00,-14244.82,-53.28,0.00, 2019-08-01 , 10:43:57.705976 
 444,0.0000000,0.0000000,0,0,0,0,26.00,-12546.36,-53.28,0.00, 2019-08-01 , 10:43:58.715269 
 444,0.0000000,0.0000000,0,0,0,0,27.00,-13395.59,-53.28,0.00, 2019-08-01 , 10:43:59.723907 
