boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1820.15,7.15,188.00, 2019-10-16 , 16:43:32.685752 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1728.75,7.15,188.00, 2019-10-16 , 16:43:33.710261 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1637.35,7.15,187.00, 2019-10-16 , 16:43:34.734897 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1637.35,7.15,188.00, 2019-10-16 , 16:43:35.759013 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1637.35,7.16,191.00, 2019-10-16 , 16:43:36.786739 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1637.35,7.14,192.00, 2019-10-16 , 16:43:37.791110 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1820.15,7.14,182.00, 2019-10-16 , 16:43:38.813481 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1637.35,6.85,185.00, 2019-10-16 , 16:43:39.850043 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,5.56,186.00, 2019-10-16 , 16:43:40.880841 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,997.54,5.27,186.00, 2019-10-16 , 16:43:41.910739 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,5.13,186.00, 2019-10-16 , 16:43:42.941440 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1088.94,5.05,186.00, 2019-10-16 , 16:43:43.972514 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,997.54,4.99,186.00, 2019-10-16 , 16:43:45.003319 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.95,186.00, 2019-10-16 , 16:43:46.033910 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.92,186.00, 2019-10-16 , 16:43:47.065195 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1180.34,4.89,185.00, 2019-10-16 , 16:43:48.096740 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1180.34,4.87,186.00, 2019-10-16 , 16:43:49.128564 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.85,186.00, 2019-10-16 , 16:43:50.159867 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1088.94,4.83,185.00, 2019-10-16 , 16:43:51.191752 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1180.34,4.82,185.00, 2019-10-16 , 16:43:52.223768 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1180.34,4.80,186.00, 2019-10-16 , 16:43:53.255798 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1180.34,4.79,186.00, 2019-10-16 , 16:43:54.288053 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.78,185.00, 2019-10-16 , 16:43:55.320057 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1271.74,4.77,185.00, 2019-10-16 , 16:43:56.352454 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1180.34,4.76,185.00, 2019-10-16 , 16:43:57.384388 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1180.34,4.75,187.00, 2019-10-16 , 16:43:58.416947 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.74,188.00, 2019-10-16 , 16:43:59.448955 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1180.34,4.74,187.00, 2019-10-16 , 16:44:00.481702 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1180.34,4.73,186.00, 2019-10-16 , 16:44:01.513979 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1180.34,4.72,186.00, 2019-10-16 , 16:44:02.546666 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1180.34,4.72,185.00, 2019-10-16 , 16:44:03.578961 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1180.34,4.71,185.00, 2019-10-16 , 16:44:04.611830 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.62,1088.94,4.70,186.00, 2019-10-16 , 16:44:05.643625 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.75,1088.94,4.70,185.00, 2019-10-16 , 16:44:06.676078 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.69,1088.94,4.69,186.00, 2019-10-16 , 16:44:07.708048 
