boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
turtle,444,0.0000000,0.0000000,23,59,44,796,31.62,-20.15,2.32,0.00, 2019-08-07 , 13:10:00.851164 
 turtle,444,0.0000000,0.0000000,23,59,44,796,31.50,-126.30,2.35,119.00, 2019-08-07 , 13:10:01.880747 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.56,-373.48,3.88,110.00, 2019-08-07 , 13:10:06.826109 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.56,-739.08,3.88,137.00, 2019-08-07 , 13:10:07.836025 
 turtle,444,0.0000000,0.0000000,23,59,44,796,31.31,-444.77,2.47,165.00, 2019-08-07 , 13:10:08.038455 
 turtle,444,0.0000000,0.0000000,23,59,44,796,31.37,-444.77,2.49,213.00, 2019-08-07 , 13:10:10.110605 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.44,-1013.28,3.88,185.00, 2019-08-07 , 13:10:10.860513 
 turtle,444,0.0000000,0.0000000,23,59,44,796,31.31,-444.77,2.51,125.00, 2019-08-07 , 13:10:11.157868 
 turtle,444,0.0000000,0.0000000,23,59,44,796,31.25,-338.61,2.52,204.00, 2019-08-07 , 13:10:12.170298 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.50,-739.08,3.88,162.00, 2019-08-07 , 13:10:12.898091 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-126.30,2.53,126.00, 2019-08-07 , 13:10:13.176101 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-464.88,3.88,203.00, 2019-08-07 , 13:10:14.936140 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.31,-550.92,2.55,188.00, 2019-08-07 , 13:10:15.186102 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.50,-556.28,3.88,217.00, 2019-08-07 , 13:10:15.978280 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.25,-126.30,2.57,52.00, 2019-08-07 , 13:10:16.198757 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.44,-1196.08,3.87,14.00, 2019-08-07 , 13:10:17.010709 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.25,-232.46,2.59,54.00, 2019-08-07 , 13:10:17.213934 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.44,-373.48,3.88,217.00, 2019-08-07 , 13:10:18.025007 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.25,-126.30,2.61,231.00, 2019-08-07 , 13:10:19.256077 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.31,-444.77,2.62,202.00, 2019-08-07 , 13:10:20.280636 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.31,-830.48,3.87,214.00, 2019-08-07 , 13:10:24.096960 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.25,-232.46,2.71,161.00, 2019-08-07 , 13:10:27.434277 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.44,-830.48,3.87,84.00, 2019-08-07 , 13:10:29.156560 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-975.54,2.75,207.00, 2019-08-07 , 13:10:29.479232 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-338.61,2.77,226.00, 2019-08-07 , 13:10:30.513500 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-739.08,3.87,74.00, 2019-08-07 , 13:10:31.180181 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-556.28,3.87,126.00, 2019-08-07 , 13:10:33.203718 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.31,-338.61,2.81,238.00, 2019-08-07 , 13:10:33.595570 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.44,-556.28,3.87,217.00, 2019-08-07 , 13:10:34.215964 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-232.46,2.88,194.00, 2019-08-07 , 13:10:38.755805 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-556.28,3.87,217.00, 2019-08-07 , 13:10:41.299436 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-556.28,3.87,48.00, 2019-08-07 , 13:10:42.311058 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-338.61,2.92,242.00, 2019-08-07 , 13:10:42.861976 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-1378.89,3.87,243.00, 2019-08-07 , 13:10:44.334955 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,2.94,90.00, 2019-08-07 , 13:10:45.923097 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-556.28,3.87,58.00, 2019-08-07 , 13:10:46.358173 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-338.61,2.95,101.00, 2019-08-07 , 13:10:46.964613 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-830.48,3.87,117.00, 2019-08-07 , 13:10:47.364535 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,2.96,103.00, 2019-08-07 , 13:10:47.984846 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-739.08,3.87,55.00, 2019-08-07 , 13:10:48.386304 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,2.96,66.00, 2019-08-07 , 13:10:49.018616 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,2.97,128.00, 2019-08-07 , 13:10:50.052574 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-338.61,2.98,39.00, 2019-08-07 , 13:10:51.073502 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-647.68,3.86,88.00, 2019-08-07 , 13:10:51.421326 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,2.98,81.00, 2019-08-07 , 13:10:52.105602 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.31,-556.28,3.86,114.00, 2019-08-07 , 13:10:52.444308 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.01,234.00, 2019-08-07 , 13:10:54.163211 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-657.07,3.01,66.00, 2019-08-07 , 13:10:55.199485 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.31,-556.28,3.86,230.00, 2019-08-07 , 13:10:55.489642 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,3.01,241.00, 2019-08-07 , 13:10:56.239586 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-556.28,3.86,103.00, 2019-08-07 , 13:10:56.501717 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-444.77,3.02,152.00, 2019-08-07 , 13:10:57.276552 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-1196.08,3.86,139.00, 2019-08-07 , 13:10:57.513318 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-1187.85,3.02,226.00, 2019-08-07 , 13:10:58.311193 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-647.68,3.86,178.00, 2019-08-07 , 13:10:58.525411 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-657.07,3.03,64.00, 2019-08-07 , 13:10:59.344280 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.37,-1104.68,3.86,113.00, 2019-08-07 , 13:10:59.537507 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-1187.85,3.04,126.00, 2019-08-07 , 13:11:00.376545 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-647.68,3.86,220.00, 2019-08-07 , 13:11:00.550052 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.04,54.00, 2019-08-07 , 13:11:01.382155 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-556.28,3.86,194.00, 2019-08-07 , 13:11:01.562478 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.04,189.00, 2019-08-07 , 13:11:02.394608 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.31,-464.88,3.86,227.00, 2019-08-07 , 13:11:02.574061 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-763.23,3.05,127.00, 2019-08-07 , 13:11:03.430385 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.50,-550.92,3.05,134.00, 2019-08-07 , 13:11:04.446935 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-830.48,3.86,243.00, 2019-08-07 , 13:11:04.598464 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.50,-975.54,3.05,212.00, 2019-08-07 , 13:11:05.468635 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-739.08,3.86,100.00, 2019-08-07 , 13:11:05.611192 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-1013.28,3.86,13.00, 2019-08-07 , 13:11:07.654582 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.07,171.00, 2019-08-07 , 13:11:08.514326 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-464.88,3.86,220.00, 2019-08-07 , 13:11:08.668834 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-550.92,3.08,4.00, 2019-08-07 , 13:11:09.523562 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-830.48,3.86,100.00, 2019-08-07 , 13:11:09.687775 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-975.54,3.08,189.00, 2019-08-07 , 13:11:10.533779 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-647.68,3.86,200.00, 2019-08-07 , 13:11:10.714220 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-763.23,3.09,127.00, 2019-08-07 , 13:11:11.550992 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-1196.08,3.86,251.00, 2019-08-07 , 13:11:11.734354 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-1013.28,3.86,87.00, 2019-08-07 , 13:11:12.753304 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-550.92,3.09,210.00, 2019-08-07 , 13:11:13.563776 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.50,-444.77,3.10,89.00, 2019-08-07 , 13:11:14.592595 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-1013.28,3.86,142.00, 2019-08-07 , 13:11:14.778629 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-1187.85,3.10,250.00, 2019-08-07 , 13:11:15.595589 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.50,-444.77,3.10,59.00, 2019-08-07 , 13:11:16.630262 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,3.11,163.00, 2019-08-07 , 13:11:17.658651 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-763.23,3.12,29.00, 2019-08-07 , 13:11:18.687247 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-1187.85,3.12,210.00, 2019-08-07 , 13:11:19.715565 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-444.77,3.12,13.00, 2019-08-07 , 13:11:20.743985 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.31,-647.68,3.86,26.00, 2019-08-07 , 13:11:20.853887 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-444.77,3.13,173.00, 2019-08-07 , 13:11:21.775380 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.13,103.00, 2019-08-07 , 13:11:22.792921 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-1187.85,3.13,29.00, 2019-08-07 , 13:11:23.821587 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-1081.69,3.13,74.00, 2019-08-07 , 13:11:24.852450 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.44,-444.77,3.15,135.00, 2019-08-07 , 13:11:25.881366 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.14,104.00, 2019-08-07 , 13:11:26.909828 
 turtle,444,0.0000000,0.0000000,0,0,0,0,31.37,-550.92,3.14,59.00, 2019-08-07 , 13:11:27.938321 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-739.08,3.85,103.00, 2019-08-07 , 13:11:29.975069 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-739.08,3.85,165.00, 2019-08-07 , 13:11:30.987130 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-830.48,3.86,243.00, 2019-08-07 , 13:11:31.999544 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-830.48,3.85,230.00, 2019-08-07 , 13:11:34.024006 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-1196.08,3.85,113.00, 2019-08-07 , 13:11:42.124374 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.19,-921.88,3.85,103.00, 2019-08-07 , 13:11:43.136629 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,29.25,-739.08,3.85,155.00, 2019-08-07 , 13:11:44.148708 
