boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,7.12,0.00, 2019-10-16 , 16:32:24.325110 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-739.08,6.94,0.00, 2019-10-16 , 16:32:25.340261 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,6.84,0.00, 2019-10-16 , 16:32:26.355291 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,6.80,0.00, 2019-10-16 , 16:32:27.370365 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-556.28,6.76,0.00, 2019-10-16 , 16:32:28.385571 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,6.47,0.00, 2019-10-16 , 16:32:29.400697 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,5.14,0.00, 2019-10-16 , 16:32:30.415823 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.77,0.00, 2019-10-16 , 16:32:31.430798 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.63,0.00, 2019-10-16 , 16:32:32.446012 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.44,-647.68,4.57,0.00, 2019-10-16 , 16:32:33.461218 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.53,0.00, 2019-10-16 , 16:32:34.476275 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.49,0.00, 2019-10-16 , 16:32:35.491434 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-739.08,4.48,0.00, 2019-10-16 , 16:32:36.506362 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.48,0.00, 2019-10-16 , 16:32:37.521491 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:32:38.536811 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:32:39.552053 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:32:40.566998 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:32:41.582192 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-556.28,4.47,0.00, 2019-10-16 , 16:32:42.597281 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.46,0.00, 2019-10-16 , 16:32:43.612554 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.46,0.00, 2019-10-16 , 16:32:44.627639 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.46,0.00, 2019-10-16 , 16:32:45.642704 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.46,0.00, 2019-10-16 , 16:32:47.673093 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.46,0.00, 2019-10-16 , 16:32:48.688225 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.46,0.00, 2019-10-16 , 16:32:49.703286 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.46,0.00, 2019-10-16 , 16:32:50.718211 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.46,0.00, 2019-10-16 , 16:32:51.733574 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.46,0.00, 2019-10-16 , 16:32:52.748737 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:32:53.763892 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.44,-647.68,4.47,0.00, 2019-10-16 , 16:32:54.778959 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.46,0.00, 2019-10-16 , 16:32:55.794071 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.44,-647.68,4.47,0.00, 2019-10-16 , 16:32:56.808958 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:32:57.824303 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-739.08,4.47,0.00, 2019-10-16 , 16:32:58.839315 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:32:59.854281 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-739.08,4.47,0.00, 2019-10-16 , 16:33:00.869477 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:33:01.884673 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:02.900219 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:03.914947 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-739.08,4.47,0.00, 2019-10-16 , 16:33:04.930030 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-556.28,4.47,0.00, 2019-10-16 , 16:33:05.945181 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:06.960308 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-556.28,4.47,0.00, 2019-10-16 , 16:33:07.975434 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:08.990808 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.47,0.00, 2019-10-16 , 16:33:10.005805 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-556.28,4.47,0.00, 2019-10-16 , 16:33:11.020976 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.47,0.00, 2019-10-16 , 16:33:12.036073 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:13.051347 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:33:14.066301 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.56,-647.68,4.48,0.00, 2019-10-16 , 16:33:15.081429 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.48,0.00, 2019-10-16 , 16:33:16.096544 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.48,0.00, 2019-10-16 , 16:33:17.111827 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-647.68,4.47,0.00, 2019-10-16 , 16:33:18.126637 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.50,-556.28,4.47,0.00, 2019-10-16 , 16:33:19.142099 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.48,0.00, 2019-10-16 , 16:33:20.157320 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:21.172320 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.62,-647.68,4.47,0.00, 2019-10-16 , 16:33:22.187367 
