boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
dolphin,444,0.0000000,0.0000000,0,0,0,0,270.94,-15637.44,-53.28,100.00, 2019-10-16 , 17:44:14.322871 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:15.437687 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:16.547218 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:17.644720 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:18.740391 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:19.836593 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:20.932645 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:22.030224 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,105.00, 2019-10-16 , 17:44:23.124149 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,449.13,-53.28,104.00, 2019-10-16 , 17:44:24.220164 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,266.33,-53.28,105.00, 2019-10-16 , 17:44:25.311837 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,266.33,-53.28,106.00, 2019-10-16 , 17:44:26.401525 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,174.93,-53.28,106.00, 2019-10-16 , 17:44:27.491334 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,266.33,-53.28,105.00, 2019-10-16 , 17:44:28.581470 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,266.33,-53.28,105.00, 2019-10-16 , 17:44:29.678591 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,266.33,-53.28,103.00, 2019-10-16 , 17:44:30.784297 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:31.891552 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:33.000306 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:34.109570 
 dolphin,444,0.0000000,0.0000000,0,0,0,0,20.00,449.13,-53.28,103.00, 2019-10-16 , 17:44:35.218312 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:36.324477 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:37.430445 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:38.537952 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,103.00, 2019-10-16 , 17:44:39.646313 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.50,357.73,-53.28,104.00, 2019-10-16 , 17:44:40.753400 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,-53.28,103.00, 2019-10-16 , 17:44:41.862255 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:44:42.977341 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:44.091637 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:44:45.206438 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,540.53,-53.28,102.00, 2019-10-16 , 17:44:46.322213 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:44:47.434458 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:44:48.545943 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:49.657320 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:50.768095 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:44:51.880583 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:44:52.995773 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:44:54.110475 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,102.00, 2019-10-16 , 17:44:55.225006 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,101.00, 2019-10-16 , 17:44:56.339784 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:44:57.459445 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:44:58.578119 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,101.00, 2019-10-16 , 17:44:59.694260 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,101.00, 2019-10-16 , 17:45:00.810583 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:45:01.927947 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,94.00, 2019-10-16 , 17:45:03.055902 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:04.180796 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:05.303168 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:06.428567 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:45:07.554180 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:08.679116 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:09.803793 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:10.927759 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:12.052750 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:45:13.166871 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,101.00, 2019-10-16 , 17:45:14.282546 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,103.00, 2019-10-16 , 17:45:15.397343 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,540.53,-53.28,105.00, 2019-10-16 , 17:45:16.503350 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,102.00, 2019-10-16 , 17:45:17.613922 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,101.00, 2019-10-16 , 17:45:18.728163 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:19.847901 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:20.968674 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:22.089994 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.50,449.13,-53.28,100.00, 2019-10-16 , 17:45:23.214158 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:24.340409 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.50,449.13,-53.28,100.00, 2019-10-16 , 17:45:25.461323 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,100.00, 2019-10-16 , 17:45:26.584346 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,449.13,-53.28,101.00, 2019-10-16 , 17:45:27.709335 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:28.835654 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,-53.28,99.00, 2019-10-16 , 17:45:29.840317 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,-53.28,100.00, 2019-10-16 , 17:45:30.843546 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,5.03,100.00, 2019-10-16 , 17:45:31.845369 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,5.01,100.00, 2019-10-16 , 17:45:32.847364 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,4.99,99.00, 2019-10-16 , 17:45:33.851611 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,4.99,100.00, 2019-10-16 , 17:45:34.852794 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,4.98,98.00, 2019-10-16 , 17:45:35.873067 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,4.99,100.00, 2019-10-16 , 17:45:36.874998 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,4.98,99.00, 2019-10-16 , 17:45:37.875731 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,266.33,4.94,100.00, 2019-10-16 , 17:45:38.878485 
 dolphin,444,0.0000000,0.0000000,21,43,51,187,20.00,357.73,4.95,100.00, 2019-10-16 , 17:45:40.006539 
