boatName,deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1180.34,4.62,189.00, 2019-10-16 , 16:53:30.894989 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1180.34,4.62,188.00, 2019-10-16 , 16:53:31.914467 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1088.94,4.63,188.00, 2019-10-16 , 16:53:32.935108 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1088.94,4.63,188.00, 2019-10-16 , 16:53:33.957579 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1088.94,4.63,188.00, 2019-10-16 , 16:53:34.979110 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1088.94,4.63,188.00, 2019-10-16 , 16:53:36.000838 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1180.34,4.64,189.00, 2019-10-16 , 16:53:37.023162 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1088.94,4.64,193.00, 2019-10-16 , 16:53:38.044537 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1088.94,4.63,190.00, 2019-10-16 , 16:53:39.056279 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1088.94,4.65,187.00, 2019-10-16 , 16:53:40.079574 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1637.35,7.15,188.00, 2019-10-16 , 16:53:41.105771 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1820.15,7.95,190.00, 2019-10-16 , 16:53:42.123360 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.87,1545.94,8.31,190.00, 2019-10-16 , 16:53:43.139940 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.81,1545.94,8.50,191.00, 2019-10-16 , 16:53:44.155563 
 dolphin,444,0.0000000,0.0000000,20,35,22,31,20.94,1637.35,8.65,191.00, 2019-10-16 , 16:53:45.170880 
